Time,Channel A,Channel B
(ms),(mV),(mV)
-0.040959,0.2670369,0.4928739
-0.020479,0.2670369,0.4928739
0.000001,0.7080294,0.4928739
0.020481,-0.1739555,0.4928739
0.040961,0.2670369,0.4928739
0.061441,0.2670369,0.4928739
0.081921,0.2670369,0.4928739
0.102401,0.2670369,0.4928739
0.122881,0.2670369,0.4928739
0.143361,0.7080294,0.4928739
0.163841,0.2670369,0.4928739
0.184321,0.2670369,0.4928739
0.204801,0.2670369,0.05340739
0.225281,0.7080294,0.4928739
0.245761,0.2670369,0.4928739
0.266241,0.7080294,0.9323404
0.286721,0.2670369,0.4928739
0.307201,0.7080294,0.9323404
0.327681,0.2670369,0.4928739
0.348161,0.7080294,0.4928739
0.368641,0.2670369,0.4928739
0.389121,0.2670369,0.4928739
0.409601,0.2670369,0.05340739
0.430081,0.2670369,0.4928739
0.450561,0.2670369,0.4928739
0.471041,0.2670369,0.4928739
0.491521,0.2670369,0.4928739
0.512001,0.2670369,0.4928739
0.532481,0.2670369,0.4928739
0.552961,0.2670369,0.4928739
0.573441,0.2670369,0.4928739
0.593921,0.2670369,0.4928739
0.614401,0.7080294,0.4928739
0.634881,0.2670369,0.4928739
0.655361,0.2670369,0.4928739
0.675841,0.2670369,0.4928739
0.696321,0.2670369,0.4928739
0.716801,0.2670369,0.4928739
0.737281,0.7080294,0.4928739
0.757761,0.2670369,0.4928739
0.778241,0.2670369,0.05340739
0.798721,0.7080294,0.4928739
0.819201,0.2670369,0.4928739
0.839681,0.2670369,0.4928739
0.860161,0.2670369,0.4928739
0.880641,0.2670369,0.4928739
0.90112099,0.2670369,0.4928739
0.92160099,0.2670369,0.4928739
0.94208099,0.2670369,0.4928739
0.96256099,0.2670369,0.4928739
0.98304099,0.2670369,0.4928739
1.00352099,0.7080294,0.9323404
1.02400099,0.2670369,0.4928739
1.04448099,0.2670369,0.05340739
1.06496099,0.2670369,0.4928739
1.08544099,0.2670369,0.05340739
1.10592099,0.7080294,0.9323404
1.12640099,0.2670369,0.4928739
1.14688099,0.2670369,0.4928739
1.16736099,0.2670369,0.05340739
1.18784099,0.2670369,0.4928739
1.20832099,-0.1739555,0.05340739
1.22880099,0.7080294,0.4928739
1.24928099,0.2670369,0.05340739
1.26976099,0.7080294,0.4928739
1.29024099,0.2670369,0.05340739
1.31072099,0.2670369,0.4928739
1.33120099,-0.1739555,0.05340739
1.35168099,0.2670369,0.4928739
