Time,Channel A,Channel B
(ms),(V),(mV)
-0.10052921,0.1760918,-0.387585
-0.10020921,0.2197333,-0.8285775
-0.09988921,0.1760918,-0.387585
-0.09956921,0.1760918,-0.387585
-0.09924921,0.2197333,-0.387585
-0.09892921,0.2197333,-0.387585
-0.09860921,0.2197333,-0.387585
-0.09828921,0.2197333,-0.387585
-0.09796921,0.2197333,-0.387585
-0.09764921,0.2197333,0.05340739
-0.09732921,0.2197333,-0.387585
-0.09700921,0.2197333,-0.387585
-0.09668921,0.2197333,-0.8285775
-0.09636921,0.2197333,-0.387585
-0.09604921,0.2197333,-0.387585
-0.09572921,0.2197333,-0.387585
-0.09540921,0.2197333,0.05340739
-0.09508921,0.2632222,-0.387585
-0.09476921,0.2197333,-0.387585
-0.09444921,0.2197333,-0.387585
-0.09412921,0.2197333,0.05340739
-0.09380921,0.2197333,0.05340739
-0.09348921,0.2197333,0.05340739
-0.09316921,0.2632222,0.05340739
-0.09284921,0.2197333,0.05340739
-0.09252921,0.2197333,0.05340739
-0.09220921,0.2632222,0.05340739
-0.09188921,0.2632222,0.05340739
-0.09156921,0.2632222,0.05340739
-0.09124921,0.2632222,0.05340739
-0.09092921,0.2632222,0.05340739
-0.09060921,0.2632222,0.05340739
-0.09028921,0.2632222,0.05340739
-0.08996921,0.3068636,-0.8285775
-0.08964921,0.3068636,-0.387585
-0.08932921,0.3068636,-0.8285775
-0.08900921,0.3068636,-0.8285775
-0.08868921,0.3068636,0.05340739
-0.08836921,0.3068636,-0.387585
-0.08804921,0.3068636,0.05340739
-0.08772921,0.3068636,-0.387585
-0.08740921,0.3068636,-0.387585
-0.08708921,0.3068636,-0.387585
-0.08676921,0.3068636,0.05340739
-0.08644921,0.3068636,0.05340739
-0.08612921,0.3068636,0.05340739
-0.08580921,0.3068636,0.05340739
-0.08548921,0.3068636,0.4928739
-0.08516921,0.3503525,0.05340739
-0.08484921,0.3068636,0.05340739
-0.08452921,0.3068636,0.05340739
-0.08420921,0.3503525,0.05340739
-0.08388921,0.3503525,-0.387585
-0.08356921,0.3503525,0.05340739
-0.08324921,0.3503525,-0.8285775
-0.08292921,0.3503525,0.05340739
-0.08260921,0.3503525,-0.387585
-0.08228921,0.3503525,-0.387585
-0.08196921,0.3503525,0.05340739
-0.08164921,0.3503525,-0.387585
-0.08132921,0.3503525,0.05340739
-0.08100921,0.3503525,0.05340739
-0.08068921,0.3503525,0.05340739
-0.08036921,0.3503525,-0.387585
-0.08004921,0.3503525,0.05340739
-0.07972921,0.3939939,0.05340739
-0.07940921,0.3503525,0.05340739
-0.07908921,0.3939939,0.05340739
-0.07876921,0.3503525,0.4928739
-0.07844921,0.3939939,0.05340739
-0.07812921,0.3939939,0.4928739
-0.07780921,0.3939939,0.05340739
-0.07748921,0.3939939,0.05340739
-0.07716921,0.3939939,-0.387585
-0.07684921,0.3939939,0.05340739
-0.07652921,0.3939939,0.05340739
-0.07620921,0.3939939,0.05340739
-0.07588921,0.3939939,0.05340739
-0.07556921,0.3939939,0.05340739
-0.07524921,0.4376354,-0.387585
-0.07492921,0.3939939,-0.387585
-0.07460921,0.3939939,0.05340739
-0.07428921,0.4376354,-0.387585
-0.07396921,0.4376354,-0.387585
-0.07364921,0.4376354,0.05340739
-0.07332921,0.4376354,0.05340739
-0.07300921,0.4376354,-0.387585
-0.07268921,0.4376354,0.05340739
-0.07236921,0.4376354,0.05340739
-0.07204921,0.4376354,-0.8285775
-0.07172921,0.4811243,0.05340739
-0.07140921,0.4811243,-0.387585
-0.07108921,0.4811243,0.05340739
-0.07076921,0.4811243,-0.387585
-0.07044921,0.4811243,0.05340739
-0.07012921,0.4811243,0.05340739
-0.06980921,0.4811243,0.05340739
-0.06948921,0.4811243,0.05340739
-0.06916921,0.4811243,0.05340739
-0.06884921,0.4811243,0.05340739
-0.06852921,0.4811243,0.4928739
-0.06820921,0.4811243,0.05340739
-0.06788921,0.4811243,0.05340739
-0.06756921,0.4811243,-0.387585
-0.06724921,0.4811243,-0.387585
-0.06692921,0.5247658,0.05340739
-0.06660921,0.4811243,0.05340739
-0.06628921,0.5247658,0.05340739
-0.06596921,0.5247658,-0.387585
-0.06564921,0.5247658,-0.387585
-0.06532921,0.5247658,-0.387585
-0.06500921,0.5247658,-0.8285775
-0.06468921,0.5247658,-0.8285775
-0.06436921,0.5682546,-0.8285775
-0.06404921,0.5682546,0.05340739
-0.06372921,0.5682546,0.05340739
-0.06340921,0.5682546,0.05340739
-0.06308921,0.5682546,-0.387585
-0.06276921,0.5682546,-0.387585
-0.06244921,0.5682546,-0.387585
-0.06212921,0.5682546,0.05340739
-0.06180921,0.5682546,0.05340739
-0.06148921,0.5682546,0.05340739
-0.06116921,0.5682546,0.05340739
-0.06084921,0.6118961,0.05340739
-0.06052921,0.5682546,0.05340739
-0.06020921,0.5682546,-0.387585
-0.05988921,0.5682546,-0.387585
-0.05956921,0.5682546,0.05340739
-0.05924921,0.5682546,-0.387585
-0.05892921,0.5682546,0.05340739
-0.05860921,0.6118961,-0.387585
-0.05828921,0.5682546,0.05340739
-0.05796921,0.6118961,-0.387585
-0.05764921,0.6118961,-0.387585
-0.05732921,0.6118961,-0.387585
-0.05700921,0.6118961,-0.8285775
-0.05668921,0.6118961,-0.387585
-0.05636921,0.6555376,-0.387585
-0.05604921,0.6555376,-0.387585
-0.05572921,0.6555376,-0.387585
-0.05540921,0.6555376,-0.8285775
-0.05508921,0.6555376,-0.387585
-0.05476921,0.6555376,0.05340739
-0.05444921,0.6555376,0.4928739
-0.05412921,0.6555376,0.05340739
-0.05380921,0.6555376,0.05340739
-0.05348921,0.6555376,0.05340739
-0.05316921,0.6555376,0.05340739
-0.05284921,0.6555376,-0.387585
-0.05252921,0.6555376,0.05340739
-0.05220921,0.6555376,-0.387585
-0.05188921,0.6555376,0.05340739
-0.05156921,0.6990265,0.05340739
-0.05124921,0.6990265,-0.387585
-0.05092921,0.6990265,-0.387585
-0.05060921,0.6990265,-0.387585
-0.05028921,0.6990265,-0.387585
-0.04996921,0.6990265,-0.387585
-0.04964921,0.6990265,0.05340739
-0.04932921,0.7426679,0.05340739
-0.04900921,0.7426679,-0.387585
-0.04868921,0.6990265,-0.387585
-0.04836921,0.6990265,0.05340739
-0.04804921,0.7426679,-0.387585
-0.04772921,0.7426679,-0.387585
-0.04740921,0.7426679,-0.387585
-0.04708921,0.7426679,0.05340739
-0.04676921,0.7426679,-0.387585
-0.04644921,0.7426679,-0.8285775
-0.04612921,0.7426679,-0.387585
-0.04580921,0.7426679,-0.387585
-0.04548921,0.7426679,-0.387585
-0.04516921,0.7426679,0.05340739
-0.04484921,0.7861568,-0.387585
-0.04452921,0.7426679,0.05340739
-0.04420921,0.7861568,0.05340739
-0.04388921,0.7426679,0.05340739
-0.04356921,0.7861568,0.05340739
-0.04324921,0.7426679,0.05340739
-0.04292921,0.7861568,0.05340739
-0.04260921,0.7426679,-0.387585
-0.04228921,0.7861568,0.05340739
-0.04196921,0.7861568,0.05340739
-0.04164921,0.8297983,0.05340739
-0.04132921,0.8297983,0.05340739
-0.04100921,0.8297983,-0.387585
-0.04068921,0.8297983,-0.387585
-0.04036921,0.8297983,-0.387585
-0.04004921,0.8297983,-0.387585
-0.03972921,0.8297983,-0.387585
-0.03940921,0.8297983,-0.387585
-0.03908921,0.8297983,0.05340739
-0.03876921,0.8297983,-0.387585
-0.03844921,0.8297983,-0.387585
-0.03812921,0.8297983,0.05340739
-0.03780921,0.8297983,-0.387585
-0.03748921,0.8734397,-0.8285775
-0.03716921,0.8734397,-0.387585
-0.03684921,0.8734397,-0.387585
-0.03652921,0.8734397,-0.387585
-0.03620921,0.8734397,-0.387585
-0.03588921,0.8734397,0.05340739
-0.03556921,0.9169286,0.05340739
-0.03524921,0.8734397,-0.387585
-0.03492921,0.9169286,0.05340739
-0.03460921,0.9169286,0.05340739
-0.03428921,0.9169286,0.05340739
-0.03396921,0.9169286,0.05340739
-0.03364921,0.9169286,0.05340739
-0.03332921,0.9169286,0.05340739
-0.03300921,0.9169286,0.05340739
-0.03268921,0.9169286,0.05340739
-0.03236921,0.9169286,-0.387585
-0.03204921,0.9169286,-0.387585
-0.03172921,0.9169286,0.05340739
-0.03140921,0.9169286,0.05340739
-0.03108921,0.9169286,-0.387585
-0.03076921,0.9169286,0.05340739
-0.03044921,0.9169286,-0.387585
-0.03012921,0.9169286,-0.387585
-0.02980921,0.9169286,-0.387585
-0.02948921,0.9169286,0.05340739
-0.02916921,0.9169286,0.05340739
-0.02884921,0.9605701,0.05340739
-0.02852921,0.9605701,-0.387585
-0.02820921,0.9605701,-0.387585
-0.02788921,0.9605701,0.05340739
-0.02756921,0.9605701,0.05340739
-0.02724921,0.9605701,0.4928739
-0.02692921,0.9605701,0.4928739
-0.02660921,1.004059,0.4928739
-0.02628921,1.004059,0.05340739
-0.02596921,1.004059,0.05340739
-0.02564921,1.004059,-0.387585
-0.02532921,1.004059,0.05340739
-0.02500921,1.004059,0.05340739
-0.02468921,1.004059,0.05340739
-0.02436921,1.004059,0.05340739
-0.02404921,1.004059,-0.387585
-0.02372921,1.004059,-0.387585
-0.02340921,1.004059,-0.8285775
-0.02308921,1.0477,-0.8285775
-0.02276921,1.0477,-0.387585
-0.02244921,1.0477,-0.387585
-0.02212921,1.0477,0.05340739
-0.02180921,1.0477,-0.387585
-0.02148921,1.0477,-0.8285775
-0.02116921,1.0477,-0.387585
-0.02084921,1.0477,-0.387585
-0.02052921,1.0477,-0.387585
-0.02020921,1.0477,0.05340739
-0.01988921,1.091342,-0.387585
-0.01956921,1.0477,0.05340739
-0.01924921,1.0477,0.05340739
-0.01892921,1.0477,-0.387585
-0.01860921,1.091342,0.05340739
-0.01828921,1.091342,0.05340739
-0.01796921,1.091342,0.05340739
-0.01764921,1.091342,0.05340739
-0.01732921,1.091342,0.05340739
-0.01700921,1.091342,0.05340739
-0.01668921,1.091342,0.05340739
-0.01636921,1.091342,0.05340739
-0.01604921,1.091342,-0.8285775
-0.01572921,1.091342,-0.387585
-0.01540921,1.091342,0.05340739
-0.01508921,1.091342,0.05340739
-0.01476921,1.134831,0.05340739
-0.01444921,1.091342,-0.387585
-0.01412921,1.091342,-0.8285775
-0.01380921,1.134831,-0.387585
-0.01348921,1.134831,-0.387585
-0.01316921,1.178472,0.05340739
-0.01284921,1.178472,0.05340739
-0.01252921,1.178472,-0.387585
-0.01220921,1.178472,0.05340739
-0.01188921,1.178472,0.05340739
-0.01156921,1.178472,-0.387585
-0.01124921,1.178472,-0.387585
-0.01092921,1.178472,-0.387585
-0.01060921,1.178472,-0.387585
-0.01028921,1.178472,-0.387585
-0.00996921,1.178472,-0.387585
-0.00964921,1.178472,-0.387585
-0.00932921,1.178472,0.05340739
-0.00900921,1.178472,-0.387585
-0.00868921,1.178472,0.05340739
-0.00836921,1.178472,0.05340739
-0.00804921,1.221961,0.05340739
-0.00772921,1.178472,0.05340739
-0.00740921,1.221961,0.05340739
-0.00708921,1.221961,0.05340739
-0.00676921,1.221961,0.05340739
-0.00644921,1.221961,0.05340739
-0.00612921,1.221961,0.05340739
-0.00580921,1.221961,0.05340739
-0.00548921,1.221961,-0.387585
-0.00516921,1.221961,0.05340739
-0.00484921,1.265603,-0.8285775
-0.00452921,1.265603,-0.387585
-0.00420921,1.221961,-0.8285775
-0.00388921,1.265603,0.05340739
-0.00356921,1.221961,-0.387585
-0.00324921,1.265603,0.05340739
-0.00292921,1.265603,-0.387585
-0.00260921,1.265603,0.05340739
-0.00228921,1.265603,-0.387585
-0.00196921,1.265603,-0.387585
-0.00164921,1.265603,-0.387585
-0.00132921,1.265603,-0.387585
-0.00100921,1.265603,-0.387585
-0.00068921,1.265603,-0.387585
-0.00036921,1.265603,0.05340739
-0.00004921,1.265603,0.05340739
0.00027079,1.309244,0.05340739
0.00059079,1.309244,0.05340739
0.00091079,1.352733,0.05340739
0.00123079,1.309244,0.05340739
0.00155079,1.309244,0.05340739
0.00187079,1.309244,-0.387585
0.00219079,1.309244,0.05340739
0.00251079,1.352733,0.05340739
0.00283079,1.352733,-0.387585
0.00315079,1.352733,0.05340739
0.00347079,1.352733,-0.387585
0.00379079,1.352733,-0.8285775
0.00411079,1.352733,-0.387585
0.00443079,1.352733,-0.8285775
0.00475079,1.352733,-0.387585
0.00507079,1.352733,-0.387585
0.00539079,1.352733,-0.387585
0.00571079,1.352733,-0.387585
0.00603079,1.352733,-0.8285775
0.00635079,1.396374,-0.387585
0.00667079,1.396374,0.05340739
0.00699079,1.352733,0.05340739
0.00731079,1.396374,0.05340739
0.00763079,1.352733,0.05340739
0.00795079,1.396374,0.05340739
0.00827079,1.396374,0.05340739
