Time,Channel A,Channel B
(ms),(V),(mV)
-1.00426702,0.08911405,0.05340739
-1.00170702,0.04547258,0.05340739
-0.99914702,0.04547258,0.05340739
-0.99658702,0.04547258,0.05340739
-0.99402702,0.04547258,0.05340739
-0.99146702,0.08911405,0.05340739
-0.98890702,0.08911405,0.49287390
-0.98634702,0.08911405,0.05340739
-0.98378702,0.04547258,0.05340739
-0.98122702,0.08911405,0.49287390
-0.97866702,0.04547258,0.05340739
-0.97610702,0.08911405,0.05340739
-0.97354702,0.08911405,0.49287390
-0.97098702,0.08911405,0.49287390
-0.96842702,0.08911405,0.05340739
-0.96586702,0.04547258,0.05340739
-0.96330702,0.08911405,0.05340739
-0.96074702,0.13260290,0.05340739
-0.95818702,0.13260290,0.05340739
-0.95562702,0.04547258,0.05340739
-0.95306702,0.13260290,0.93234040
-0.95050702,0.08911405,0.05340739
-0.94794702,0.13260290,0.49287390
-0.94538702,0.13260290,0.93234040
-0.94282702,0.13260290,0.49287390
-0.94026702,0.13260290,0.05340739
-0.93770702,0.08911405,0.93234040
-0.93514702,0.13260290,0.05340739
-0.93258702,0.13260290,0.05340739
-0.93002702,0.13260290,0.05340739
-0.92746702,0.13260290,0.49287390
-0.92490702,0.13260290,0.05340739
-0.92234702,0.13260290,-0.38758500
-0.91978702,0.13260290,0.49287390
-0.91722702,0.13260290,0.05340739
-0.91466702,0.13260290,0.05340739
-0.91210702,0.13260290,0.05340739
-0.90954702,0.13260290,0.05340739
-0.90698702,0.13260290,0.05340739
-0.90442702,0.13260290,0.05340739
-0.90186702,0.13260290,0.49287390
-0.89930702,0.13260290,0.05340739
-0.89674702,0.17609180,0.05340739
-0.89418702,0.13260290,0.05340739
-0.89162702,0.13260290,0.05340739
-0.88906702,0.13260290,0.05340739
-0.88650702,0.13260290,0.05340739
-0.88394702,0.17609180,0.05340739
-0.88138702,0.13260290,0.49287390
-0.87882702,0.13260290,0.49287390
-0.87626702,0.17609180,0.05340739
-0.87370702,0.17609180,0.49287390
-0.87114702,0.17609180,0.05340739
-0.86858702,0.17609180,0.05340739
-0.86602702,0.17609180,0.05340739
-0.86346702,0.17609180,0.49287390
-0.86090702,0.17609180,0.05340739
-0.85834702,0.17609180,0.05340739
-0.85578702,0.17609180,0.05340739
-0.85322702,0.17609180,0.49287390
-0.85066702,0.17609180,0.05340739
-0.84810702,0.17609180,0.05340739
-0.84554702,0.17609180,0.49287390
-0.84298702,0.17609180,0.05340739
-0.84042702,0.21973330,0.05340739
-0.83786702,0.21973330,0.05340739
-0.83530702,0.21973330,0.05340739
-0.83274702,0.17609180,0.05340739
-0.83018702,0.21973330,0.05340739
-0.82762702,0.21973330,0.05340739
-0.82506702,0.21973330,0.49287390
-0.82250702,0.21973330,0.05340739
-0.81994702,0.21973330,0.05340739
-0.81738702,0.21973330,0.05340739
-0.81482702,0.21973330,0.05340739
-0.81226702,0.21973330,0.05340739
-0.80970702,0.21973330,0.05340739
-0.80714702,0.21973330,0.05340739
-0.80458702,0.21973330,0.05340739
-0.80202702,0.21973330,0.05340739
-0.79946702,0.21973330,0.05340739
-0.79690702,0.21973330,0.05340739
-0.79434702,0.21973330,0.05340739
-0.79178702,0.21973330,0.49287390
-0.78922702,0.21973330,0.49287390
-0.78666702,0.21973330,0.05340739
-0.78410702,0.21973330,0.49287390
-0.78154702,0.21973330,0.05340739
-0.77898702,0.21973330,0.05340739
-0.77642702,0.21973330,0.05340739
-0.77386702,0.21973330,0.49287390
-0.77130702,0.21973330,0.49287390
-0.76874702,0.21973330,0.05340739
-0.76618702,0.26322220,0.05340739
-0.76362702,0.21973330,0.05340739
